cod_colaborador,primeiro_nome,ultimo_nome,email,cpf,data_nascimento,endereco,cep
14,Paulo,Dias,melissalopes@example.net,847.210.695-02,24/04/1974,"Lagoa de Rodrigues, 62 Zilah Sposito 37328-273 Castro Paulista / PE",27275674
19,Luiz Fernando,Dias,pcunha@example.net,820.415.963-33,10/07/1994,"Ladeira de Moreira, 82 Jardim Atlântico 27617-762 Sales Verde / PB",50013962
32,Vitor Hugo,Dias,aragaonicolas@example.net,936.172.548-37,18/12/1986,Área Sophie Moreira Maria Virgínia 71941-111 Souza do Campo / RJ,08955-215
88,João Gabriel,Lima,luiz-otaviorezende@example.org,967.082.451-67,19/10/1994,"Trevo Murilo Ramos, 92 São Benedito 73615-597 Moura da Mata / RR",24224-305
39,Maria Eduarda,Melo,joao-pedro72@example.com,857.496.210-49,01/03/1996,"Parque de Moura, 65 Granja Werneck 67769059 da Rosa de da Cunha / RR",96896390
41,Olivia,Costa,sabrina59@example.com,190.768.435-20,30/01/1966,"Favela Rocha, 94 Laranjeiras 92500120 Viana / GO",90019993
45,Laura,Cunha,lviana@example.org,217.583.096-95,07/02/1977,"Lagoa Benício Moura, 5 Vila Paraíso 50235854 da Conceissão / RJ",19415-341
100,Lavínia,Cunha,noahmoraes@example.com,062.937.158-02,24/03/1975,"Colônia Lima, 83 Flamengo 36172-665 da Mota / SE",74890752
16,Benjamin,Gomes,vjesus@example.org,718.950.436-20,21/12/1963,"Conjunto Gomes, 888 Céu Azul 76308-427 Lopes do Norte / GO",29604844
46,Alana,Gomes,samuel76@example.com,768.134.950-20,16/07/1977,Fazenda Emilly Costa Campo Alegre 55916-800 da Cunha de Rocha / SE,88161-168
76,Ana Júlia,Gomes,davi-luccacardoso@example.org,461.837.095-57,13/09/1985,"Viaduto Rezende, 33 Beira Linha 94699659 Fogaça do Oeste / RN",73793-541
64,Ana Júlia,Jesus,thales22@example.com,265.931.407-16,15/06/1975,Travessa Araújo Flamengo 90045246 Dias / AM,85994735
86,Eduarda,Jesus,zmelo@example.com,260.431.897-04,28/10/1983,"Vale de Ribeiro, 6 Vera Cruz 77263-255 Lopes Verde / MS",53119-377
91,Emilly,Jesus,freitascaroline@example.com,053.126.487-44,03/03/1985,"Pátio Aragão, 171 Califórnia 42079209 da Rosa Grande / ES",95399-857
4,Laís,Lopes,diaslucas@example.org,269.580.741-49,14/10/1976,"Sítio da Paz, 94 Conjunto Jatoba 59169-769 Nogueira / PA",7868885
42,Enrico,Lopes,oviana@example.com,196.574.038-39,23/03/1991,"Chácara de Pereira, 148 Etelvina Carneiro 74386-933 das Neves / TO",98758451
53,Helena,Lopes,antoniomonteiro@example.org,928.706.341-96,08/10/1990,"Área Enrico Caldeira, 9 Santa Cecilia 37808172 Rocha da Prata / PB",48143-984
57,Lucca,Lopes,das-nevesmaria-fernanda@example.org,697.351.804-48,21/02/1966,"Área de da Cunha, 52 Pantanal 27949-577 Barros / MT",04775-545
67,Luiz Henrique,Lopes,davi-luiz75@example.net,538.697.210-30,28/05/1990,"Avenida Barros, 820 Vila Puc 71371716 da Paz / AM",95994401
56,Julia,Pinto,jalves@example.org,734.206.859-47,27/11/1985,"Trecho Teixeira, 90 Vila Oeste 93070-834 Moraes Paulista / DF",71279-339
31,Joaquim,Pires,laispeixoto@example.org,104.263.875-62,12/06/1978,"Loteamento de Peixoto, 42 Aparecida 7ª Sessão 72660123 Nunes / SE",51569-010
43,Marcelo,Ramos,heitor34@example.org,279.438.056-74,13/11/1968,"Praia Daniela Nunes, 10 Vila Trinta E Um De Março 92370116 Silva Grande / AP",74002-728
50,João Pedro,Ramos,barbara58@example.com,814.096.532-42,09/04/1970,"Fazenda de Pinto, 27 Pirineus 57057184 da Paz / MS",36777-821
26,Luiz Henrique,Rocha,rodriguesolivia@example.net,934.210.785-05,03/06/1974,"Alameda de Fogaça, 60 Araguaia 33543-326 Moraes de Santos / CE",26210551
36,Marcela,Rocha,henriqueda-luz@example.com,503.247.891-14,16/07/1963,"Ladeira de Porto, 9 Distrito Industrial Do Jatoba 71922-717 Lima de Souza / SE",42103-068
85,Pedro Lucas,Rocha,pauloribeiro@example.org,305.687.219-77,07/12/1991,"Fazenda Pedro Miguel Vieira, 714 São Salvador 88997-693 Viana da Mata / RR",12941395
22,Davi Luiz,Sales,leticia48@example.org,192.058.346-70,07/01/1979,"Loteamento de Fogaça, 485 Vila Fumec 29814669 Gonçalves do Oeste / DF",60281-719
54,João Gabriel,Sales,emanuella17@example.net,784.290.531-23,23/04/1985,"Ladeira de Viana, 1 Conjunto Capitão Eduardo 97321062 Dias / BA",16683185
82,Mirella,Sales,pedro-miguelda-rocha@example.org,097.435.216-07,13/11/1967,Loteamento Monteiro Conjunto Bonsucesso 77655-152 Nogueira de Minas / MA,62738233
65,Sabrina,Silva,luiz-gustavo49@example.org,652.307.918-02,15/02/1990,"Lago Costela, 31 Conjunto Santa Maria 75957-012 Azevedo / PE",75913-235
68,João Miguel,Souza,icarvalho@example.com,627.134.095-43,14/10/1962,"Passarela Natália da Rosa, 24 São Pedro 65884-698 Rocha da Praia / PI",98839-500
84,Pietro,Souza,diogo68@example.org,136.078.249-40,31/03/1985,"Sítio Pereira, 2 Baleia 52815-925 da Cruz / PB",92408-486
72,Noah,Barros,martinsmarcos-vinicius@example.net,126.749.853-64,25/04/1991,"Colônia de da Luz, 258 Vila Santo Antônio Barroquinha 53260-352 Farias / MG",57387761
62,Arthur,Campos,oviana@example.org,381.657.092-59,28/12/1973,"Conjunto Alves, 8 Santa Amelia 36469-502 da Mota do Amparo / BA",16596-292
3,Kamilly,Castro,correialivia@example.net,297.634.180-03,15/09/1975,"Praia Marina Monteiro, 29 Vila São Francisco 58603414 Vieira da Serra / SC",96322-716
17,Larissa,Castro,asilva@example.com,137.405.962-52,19/05/1980,"Setor de Oliveira, 8 Teixeira Dias 68695-507 Costela / SC",71170-459
69,Helena,Castro,caldeiragiovanna@example.org,714.309.582-60,05/10/1986,"Trevo de Cavalcanti, 9 Renascença 86582782 Lima do Campo / RJ",26544-466
98,Alana,Castro,rodrigo08@example.org,825.140.697-85,06/03/1964,"Trecho de da Paz, 27 Conjunto Taquaril 72170-264 Pinto / MS",36787-854
18,Maria Vitória,Duarte,almeidacaroline@example.net,047.836.592-65,24/12/1963,"Setor Thiago da Rocha, 9 Independéncia 55260-908 Santos da Prata / PE",29043497
81,Benício,Farias,maria91@example.com,059.817.632-21,08/05/1976,"Avenida Melo, 40 Estrela Do Oriente 56389266 da Luz do Oeste / AM",52447-374
38,Luigi,Moraes,camposgiovanna@example.org,761.038.529-86,15/02/1981,"Condomínio Mirella da Conceissão, 19 Petropolis 14916934 Lopes / PE",83417203
63,Ana Clara,Moraes,vitoriagomes@example.org,291.847.506-85,08/05/1981,"Favela de Oliveira, 514 Vila Nova Gameleira 3ª Sessão 04170-829 Teixeira do Campo / CE",74407700
10,Vitor Hugo,Novaes,isisda-paz@example.org,187.053.296-12,19/06/1969,"Pátio Silveira, 48 Concórdia 02998-381 Moraes / SC",75796-270
13,Maria Fernanda,Novaes,milena41@example.net,942.718.605-49,13/04/1964,"Distrito Enrico Souza, 9 Vila Novo São Lucas 51945-621 Gonçalves de Cunha / MS",96640825
92,Eduarda,Novaes,da-rochagustavo@example.com,961.452.703-06,19/12/1982,"Lagoa de Costa, 96 Conjunto Minas Caixa 87681-170 da Rosa / PE",54656-513
25,Lara,Santos,pteixeira@example.com,768.541.203-90,13/05/1970,"Largo Nogueira, 59 Conjunto Bonsucesso 43484658 Porto Paulista / AM",68997-717
37,João Lucas,Santos,araujoana-vitoria@example.net,813.769.540-01,04/07/1981,Condomínio Araújo Vera Cruz 78170-346 da Paz da Serra / SE,75795-729
24,Vitória,Vieira,pedro-henrique56@example.org,572.340.961-16,13/06/1989,"Campo Bruno Melo, 3 São Jorge 1ª Sessão 04133-564 Araújo de Pires / PE",92847600
44,Bruno,da Paz,wmoura@example.org,534.062.971-61,30/10/1997,"Alameda de Aragão, 5 Monte Azul 28055-168 Jesus / SC",64363-566
30,Arthur,Almeida,joaquim97@example.org,057.264.198-20,16/01/1980,"Travessa Vitor Gabriel Silveira, 20 Granja Werneck 96535821 das Neves da Mata / AC",69196806
90,Caué,Almeida,wcampos@example.org,176.084.239-78,03/12/1993,"Vale de Costa, 62 Acaiaca 71168-130 Gonçalves da Praia / MG",61301741
20,Alice,Aragão,pedro-henrique82@example.com,495.278.610-20,19/09/1964,"Núcleo Emanuella Jesus, 621 Vila Jardim Montanhes 66803663 Pires do Campo / RR",23821831
74,Laís,Aragão,stephanypeixoto@example.net,027.619.358-02,10/11/1991,Distrito Pinto Liberdade 55152-938 Nascimento / PA,28501-411
29,Juan,Barbosa,cavalcantithomas@example.org,403.527.198-50,09/10/1967,"Favela de Cunha, 84 Jardim América 28360-153 da Costa do Campo / RJ",42832-180
83,Julia,Barbosa,da-luzcarolina@example.com,149.853.026-51,04/11/1993,"Esplanada de da Conceissão, 52 Satelite 42238-305 Cavalcanti / DF",41497222
71,Gabriela,Cardoso,arthur02@example.net,385.049.162-51,13/07/1967,"Colônia Thomas Viana, 918 Marajó 70771-248 Duarte / RJ",8566439
89,Camila,Cardoso,silveiradaniela@example.org,461.203.589-51,21/10/1965,"Rodovia de Nogueira, 37 União 95858-378 das Neves / AM",65408-812
97,Nicolas,Cardoso,costajoao-miguel@example.net,897.605.341-93,22/04/1969,"Vereda Freitas, 46 Minas Brasil 80891-631 da Mata / CE",21980-775
21,Rafaela,Correia,vitor-hugosales@example.org,390.752.168-40,24/03/1973,"Chácara de Barbosa, 29 Engenho Nogueira 03345703 Cunha do Oeste / SP",03927-555
33,Elisa,Correia,leandro34@example.net,965.832.147-09,23/02/1993,"Morro de Souza, 84 Distrito Industrial Do Jatoba 67203-288 da Mota / AP",50769-513
47,Maité,Correia,carlos-eduardo92@example.com,031.248.796-78,25/10/1978,"Lagoa de da Mata, 20 Silveira 49023-064 Rocha do Sul / PE",94709-044
6,Clarice,Costela,lrezende@example.org,264.875.013-44,06/02/1977,"Parque de Silveira, 66 Vila Da Luz 09881-664 Jesus / MS",12204328
