cod_cliente,nome_completo,email,tipo_cliente,data_inclusao,cpfcnpj,endereco,cep,uf,tempo_como_cliente,idade
28,Sabrina Dias,moreiraemanuelly@example.org,Pessoa Física,2017-04-03 16:11:00,357.081.496-39,Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,95140-704,São Paulo,98.33333333333333,18.0
674,Luiz Felipe Dias,pedroferreira@example.org,Pessoa Física,2021-02-10 13:27:00,085.196.374-93,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765,Amapá,51.36666666666667,29.0
693,Renan Dias,ogomes@example.net,Pessoa Física,2020-01-21 13:12:00,783.416.059-10,Jardim de Rodrigues Ipiranga 14161-477 Duarte da Praia / RN,51779625,Rio Grande do Norte,64.23333333333333,
743,Clara Dias,rafaelcorreia@example.org,Pessoa Física,2019-05-06 11:39:00,589.237.610-95,"Colônia Thomas Silva, 9 Tupi B 15771-946 Fernandes / SP",19615792,São Paulo,72.9,
769,André Dias,danilo33@example.org,Pessoa Física,2017-01-07 14:53:00,459.608.721-02,"Rua Correia, 889 Diamante 59123250 Aragão / RS",1672838,Rio Grande do Sul,101.2,
824,Heloísa Dias,alanadias@example.org,Pessoa Física,2016-01-07 12:26:00,536.981.240-33,"Favela de da Mata, 3 Conjunto Novo Dom Bosco 77145256 Vieira / MS",07814-131,Mato Grosso do Sul,113.4,57.0
884,Maria Julia Dias,alvesmariana@example.net,Pessoa Física,2017-08-06 11:01:00,150.438.926-33,"Esplanada Maria Luiza Ribeiro, 4 Conjunto Califórnia Ii 13748392 Moraes / ES",90221-380,Espírito Santo,94.16666666666667,74.0
899,Arthur Dias,castropedro-lucas@example.net,Pessoa Física,2021-10-17 13:00:00,509.481.762-02,"Ladeira Elisa da Rocha, 69 João Pinheiro 13964-513 Araújo da Prata / PB",44875-244,Paraíba,43.06666666666667,
908,Vitor Gabriel Dias,acardoso@example.com,Pessoa Física,2021-04-02 10:22:00,158.406.379-39,"Passarela Lucca Castro, 73 Vila Paris 99268696 Farias / BA",42603-833,Bahia,49.666666666666664,
945,Caio Dias,moraesmarina@example.org,Pessoa Física,2016-05-10 13:56:00,975.860.431-75,"Fazenda Emanuel Gomes, 6 Cruzeiro 29428-910 Novaes / SP",23176352,São Paulo,109.26666666666667,69.0
5,Daniela Lima,yago42@example.net,Pessoa Física,2015-01-14 11:53:00,071.259.643-70,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142,Alagoas,125.33333333333333,31.0
262,João Lucas Lima,brunaduarte@example.org,Pessoa Física,2019-10-19 11:14:00,358.702.964-47,"Rua João Lucas Freitas, 46 Vila Nova Cachoeirinha 2Âª SeÃ§ão 97602-589 Castro de Goiás / AC",29942-354,Acre,67.36666666666666,
281,Enrico Lima,fernandesbryan@example.net,Pessoa Física,2016-06-27 15:06:00,180.746.392-31,"Praia Isabelly Martins, 7 Morro Dos Macacos 27993489 da Mota do Amparo / MS",97628-818,Mato Grosso do Sul,107.66666666666667,
352,Carolina Lima,maria-sophiacardoso@example.com,Pessoa Física,2022-06-05 14:12:00,658.079.314-75,"Trecho de Campos, 54 Cônego Pinheiro 1ª Seção 77765-955 Novaes / AP",57113-154,Amapá,35.36666666666667,
387,Isaac Lima,nicolecardoso@example.com,Pessoa Física,2014-02-08 13:28:00,869.103.725-30,"Chácara Pietra Nascimento, 7 Apolonia 81600-416 Novaes das Pedras / AL",26119706,Alagoas,136.66666666666666,
522,João Lucas Lima,barbosamariana@example.org,Pessoa Física,2016-11-05 13:26:00,740.963.251-80,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732,Distrito Federal,103.3,35.0
729,Benjamin Lima,kaiquepeixoto@example.net,Pessoa Física,2020-08-21 10:13:00,095.421.876-02,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042,São Paulo,57.13333333333333,69.0
887,Kevin Lima,kamilly26@example.net,Pessoa Física,2021-02-27 11:43:00,538.169.047-93,"Passarela Silva, 4 Vila Nova Cachoeirinha 2ª Seção 92334096 Alves do Oeste / ES",12716-003,Espírito Santo,50.8,74.0
